filename,label
clean_0.txt,clean
clean_1.txt,clean
clean_2.txt,clean
clean_3.txt,clean
clean_4.txt,clean
clean_5.txt,clean
clean_6.txt,clean
clean_7.txt,clean
clean_8.txt,clean
clean_9.txt,clean
verbatim_orig_0.txt,clean
verbatim_copy_0.txt,verbatim
verbatim_orig_1.txt,clean
verbatim_copy_1.txt,verbatim
verbatim_orig_2.txt,clean
verbatim_copy_2.txt,verbatim
verbatim_orig_3.txt,clean
verbatim_copy_3.txt,verbatim
verbatim_orig_4.txt,clean
verbatim_copy_4.txt,verbatim
verbatim_orig_5.txt,clean
verbatim_copy_5.txt,verbatim
verbatim_orig_6.txt,clean
verbatim_copy_6.txt,verbatim
verbatim_orig_7.txt,clean
verbatim_copy_7.txt,verbatim
verbatim_orig_8.txt,clean
verbatim_copy_8.txt,verbatim
verbatim_orig_9.txt,clean
verbatim_copy_9.txt,verbatim
para_orig_0.txt,clean
para_copy_0.txt,paraphrase
para_orig_1.txt,clean
para_copy_1.txt,paraphrase
para_orig_2.txt,clean
para_copy_2.txt,paraphrase
para_orig_3.txt,clean
para_copy_3.txt,paraphrase
para_orig_4.txt,clean
para_copy_4.txt,paraphrase
para_orig_5.txt,clean
para_copy_5.txt,paraphrase
para_orig_6.txt,clean
para_copy_6.txt,paraphrase
para_orig_7.txt,clean
para_copy_7.txt,paraphrase
para_orig_8.txt,clean
para_copy_8.txt,paraphrase
para_orig_9.txt,clean
para_copy_9.txt,paraphrase
ai_gen_0.txt,ai-generated
ai_gen_1.txt,ai-generated
ai_gen_2.txt,ai-generated
ai_gen_3.txt,ai-generated
ai_gen_4.txt,ai-generated
ai_gen_5.txt,ai-generated
ai_gen_6.txt,ai-generated
ai_gen_7.txt,ai-generated
ai_gen_8.txt,ai-generated
ai_gen_9.txt,ai-generated
code_orig_0.py,clean
code_copy_0.py,code_copy
code_orig_1.py,clean
code_copy_1.py,code_copy
code_orig_2.py,clean
code_copy_2.py,code_copy
code_orig_3.py,clean
code_copy_3.py,code_copy
code_orig_4.py,clean
code_copy_4.py,code_copy
